전용면적,층수,연수,구,거래금액(억원)
51.89,16,11,서초구,8.85
84.96,14,18,광진구,11.95
84.96,19,9,성동구,14.45
59.99,9,2,마포구,12.9
74.97,4,12,서초구,12.95
59.96,1,21,마포구,10.8
59.91,4,17,강서구,7.1
43.392,8,3,강남구,11.5
84.98,16,24,동대문,8
114.88,11,22,중구,14.2
84.87,11,24,성동구,10.85
59.9673,33,5,금천구,6.9
84.91,1,15,구로구,7.2
59.95,18,27,영등포,7.66
59.95,12,6,서초구,23.5
45.75,14,20,서대문,5
59.21,9,24,성동구,7.35
84.97,11,19,성북구,7.4
59.95,7,7,영등포,11
38.441,5,2,영등포,6.2377
84.09,17,19,성북구,5.94
84.99,4,25,구로구,6.65
84.86,22,20,강북구,6.05
84.951,5,11,동작구,11.3
59.58,18,26,서대문,8.8
84.68,15,25,성북구,6.48
59.4,5,27,중랑구,4.5
84.67,2,5,강북구,8.6
39.6,11,30,노원구,4.1
59.92,2,30,용산구,14.2
84.9854,14,2,강서구,11.5
59.739,6,23,강서구,7
119.738,5,12,동작구,16.2
41.3,13,33,도봉구,4
114.94,4,24,성동구,13.45
27,14,36,노원구,3.2
59.86,16,24,송파구,10.9
58.98,7,39,송파구,10.3
84.39,11,33,성북구,6.55
84.66,2,27,동대문,6.5
84.8114,25,8,금천구,9.6
84.24,27,5,강동구,15.5
131.83,12,38,강동구,16.3
79.07,15,36,노원구,8.35
59.895,3,21,은평구,5.8
97.8,22,3,마포구,20
59.9846,8,5,양천구,9.6
84.2,14,20,관악구,9.5
54.74,8,20,노원구,4.5
59.9,2,23,성동구,7.32
82.77,3,30,영등포,9.3
59.99,8,10,동대문,10.85
80.5,6,18,종로구,6
83.85,3,28,양천구,3.24
84.969,9,18,도봉구,7.1
59.91,8,8,성동구,12.4
84.37,1,13,은평구,7.3
59.58,9,20,관악구,7.15
59.97,12,30,성동구,9.2
59.9384,13,8,금천구,8.8
84.9779,11,5,양천구,11
84.69,7,27,송파구,12.9
83.38,1,25,서대문,8.55
59.89,9,15,구로구,7.65
84.98,18,4,성북구,9.67
12.09,8,11,종로구,1.05
36.2415,8,2,은평구,5
84.96,1,24,성북구,6.5
84.92,9,24,종로구,10.595
76.79,12,45,강남구,20.3
59.99,2,2,강북구,4.38
18.24,2,11,영등포,0.94
59.88,6,15,강동구,6.2
59.95,12,26,노원구,5.1
47.12,7,1,양천구,4.71
84.6,4,21,금천구,5.95
34.86,12,31,관악구,4.85
84.42,5,23,성동구,12.6
59.13,21,23,동대문,6.3
49.54,3,33,노원구,5.15
79.91,14,32,영등포,6.15
130.89,10,29,서초구,18
59.97,6,12,서대문,8.55
56.73,11,34,도봉구,4.3
84.98,8,6,동대문,11.95
59.95,1,24,노원구,5.3
72.04,1,22,동대문,4.9
84.95,23,4,서초구,28
59.98,14,5,은평구,8.5
18.92,13,9,동대문,1.54
84.99,2,7,성동구,11.95
64.53,5,37,서초구,15
36.88,9,18,구로구,4.45
52.85,16,4,양천구,7
59.96,8,28,광진구,8.5
46.33,8,21,강동구,5.27
68.21,12,18,서초구,10.4
59.99,18,9,강서구,9.4
84.45,3,20,서대문,8.9
59.9818,16,18,강남구,19.6
84.41,2,36,노원구,7.37
65.34,9,37,서대문,7
59.96,8,16,송파구,19.2
59.63,3,13,은평구,6.35
84.99,11,9,은평구,10.9
59.64,3,24,강동구,8.05
15.42,5,53,용산구,2.9
76.5,4,46,송파구,23.4
52.54,12,8,은평구,4.8
29.35,5,1,중랑구,2.7726
84.244,7,5,강동구,14.7
84.96,4,30,강남구,16.3
84.97,13,4,양천구,9.7
59.95,22,21,성북구,5.35
114.99,16,23,구로구,9.3
116.76,13,37,서대문,8.9
84.94,4,29,도봉구,5.4
39.6,12,32,강서구,5.5
54.02,1,35,노원구,5.4
59.99,4,10,동대문,8.75
59.94,12,22,중구,9.7
114.7,17,25,영등포,12.2
36.2275,15,2,은평구,4.5
84.78,3,28,노원구,8.25
84.58,13,33,서초구,15.2
39.1,1,6,송파구,8.92
118.12,3,53,영등포,20.4
12.85,4,2,성북구,1.88
84.39,9,9,강남구,11.95
59.4,4,24,서대문,4.9
59.855,10,21,성북구,6.25
122.35,3,38,양천구,23.9
49.6,1,25,노원구,4.02
49.94,1,34,도봉구,5.1
49.8,10,27,마포구,7.05
84.93,22,5,성북구,9.2
84.94,7,4,서초구,26.6
84.99,17,4,마포구,17
36.2415,5,2,은평구,5
59.97,8,5,강동구,10.65
59.98,7,8,성동구,11
84.96,6,23,구로구,5.9
84.83,18,4,강남구,25.95
84.86,11,4,강남구,22.3
57.5033,6,21,은평구,5.5
84.86,10,25,동작구,9.25
133.97,8,23,도봉구,10.9
84.98,13,4,영등포,14.35
121.96,5,22,종로구,10.2
84.97,6,27,도봉구,6.17
59.91,19,24,은평구,6.9
15.86,6,10,강동구,1.1
84.79,9,33,노원구,8.8
58.46,6,38,송파구,10.65
59.88,4,25,구로구,7.2
99.15,4,39,양천구,19.2
59.94,28,26,성동구,6.9
59.98,11,4,강동구,7.6
78.17,7,19,강서구,4.5
59.85,9,6,서대문,12.5
102.34,2,16,강동구,8.05
114.75,7,23,동작구,10.5
74.25,7,28,중랑구,5.995
16.94,3,3,중랑구,2.6
59.98,6,3,서초구,22.7
59.98,19,5,은평구,8.5
134.87,11,14,은평구,12
60.44,7,34,노원구,4.67
169.53,6,18,광진구,23
84.77,9,15,광진구,16.7
84.91,13,12,동대문,9.3
59.88,3,19,성북구,4.5
59.82,2,30,서초구,10.7
84.23,4,21,구로구,6.37
40.95,9,25,송파구,5.4
121.04,7,40,송파구,15
59.4,4,25,노원구,5.9
82.39,4,19,마포구,8.5
72.77,2,20,강동구,6.24
130.89,2,29,서초구,15.8
134.438,11,30,강남구,24.7
59.94,8,26,은평구,4.65
39.53,11,32,강남구,12.3
62.39,10,20,강동구,5.999
59.96,7,25,강동구,7.45
84.9,5,27,동작구,8
49.6,9,25,노원구,4.5
114.922,10,21,강북구,8.1
37.4389,19,10,강북구,2.95
84.99,3,6,송파구,20
25.65,11,35,송파구,5.1
84.89,4,13,은평구,6.8
79.4198,7,22,노원구,6.98
56.4,1,43,구로구,2.6
16.37,14,11,중구,1.35
15.943,6,4,구로구,1.35
84.9,17,26,노원구,8.9
46.93,9,3,관악구,6.5
59.028,17,5,강동구,12
131.08,12,43,송파구,25
114.46,14,23,동대문,9.45
59.983,9,5,성동구,13.3
59.4,8,27,동작구,5.1
71.95,2,10,구로구,7.2
47.22,5,36,강서구,4.2
36.2275,9,2,은평구,4.5
12.62,13,10,영등포,1.589
84.97,17,19,성북구,7.7
84.8768,5,20,금천구,6.85
84.99,23,23,구로구,7.8
84.98,10,9,서대문,12.3
75.03,8,35,노원구,5.3
81.05,8,32,서초구,17.7
59.97,1,10,동대문,8.5
101.9176,2,20,도봉구,9.03
59.94,9,22,중구,9.6
114.75,3,21,관악구,6
84.82,9,10,마포구,15.3
59.98,22,20,강북구,6
83.98,3,20,영등포,8.9
84.96,2,26,서대문,10
84.88,11,6,성동구,18
49.77,13,28,도봉구,3.55
59.99,8,10,동대문,9.87
84.94,6,29,도봉구,5
59.95,18,24,구로구,4.98
59.97,6,20,마포구,10.6
49.95,5,24,관악구,5
84.97,3,19,성북구,8
58.491,6,21,성동구,11.85
47.12,10,1,양천구,4.71
36.88,9,18,구로구,4.33
84.74,10,32,관악구,8.15
119.85,3,25,강서구,9.5
59.938,6,5,은평구,8.45
84.99,7,16,송파구,24
84.79,16,19,관악구,9.3
59.7,11,25,서대문,6.17
58.01,5,37,노원구,5.7
180.39,1,23,서초구,21
84.96,8,4,관악구,3.4147
59.79,20,5,서대문,9.95
59.81,3,7,성북구,8.65
84.9979,17,5,강동구,11.9
29.99,8,7,은평구,2.7
85,9,27,송파구,13
84.92,1,36,노원구,5.49
49.94,4,33,도봉구,4.88
100.65,1,21,서대문,5.3
45.55,13,35,노원구,3.3
84.87,2,32,도봉구,7.7
126.33,3,39,강남구,30
84.96,17,26,용산구,21.8
74.97,3,21,노원구,4.15
58.42,4,21,동대문,7.3
79.51,1,19,동대문,6.45
59.11,18,5,강동구,11.65
84.75,17,20,관악구,8.9
101.32,13,45,서초구,22.1
53.88,2,36,양천구,12.7
29.786,12,8,동대문,2.8
28.55,10,6,중구,3.55
51.78,19,11,송파구,7.3
59.52,2,23,마포구,8.47
59.4,5,26,마포구,6.65
84.97,7,36,노원구,7.59
60,14,32,강남구,13.3
84.91,20,5,강동구,12.8
84.65,16,18,서초구,9.5
84.49,14,21,강동구,10.4
42.93,3,36,도봉구,2.85
78.37,5,5,은평구,4.65
84.9,8,25,강동구,8
84.99,5,9,은평구,8.775
39.98,5,32,강남구,8.8
84.99,11,16,송파구,20.7
32.8,15,22,마포구,2.6
36.2415,9,2,은평구,5
84.99,4,2,영등포,12.4
84.74,3,14,강동구,6.2
64.24,3,2,강동구,7.49
23.34,5,2,강북구,2.135
59.79,8,5,서대문,9.7
84.86,7,32,도봉구,5.3
65.768,11,21,노원구,5.9
84.58,8,24,강남구,22
72.97,17,7,성북구,9.65
59.88,5,24,강동구,7.35
84.63,11,32,양천구,9
84.94,4,29,도봉구,4.7
42.93,7,36,도봉구,3.31
59.996,3,3,노원구,7.15
84.99,2,5,영등포,7.6
84.96,6,20,동작구,11.3
83.12,10,41,서초구,22
130.61,8,50,강남구,11.27
84.9728,8,4,서대문,10
114.66,8,21,성북구,7.65
84.78,5,4,서대문,8.1
84.95,11,16,송파구,12.7
59.58,24,20,관악구,7.3
59.91,20,27,송파구,11.3
84.88,27,23,동작구,9
84.97,27,7,영등포,13
84.86,2,23,마포구,8.85
84.86,11,28,광진구,12.55
59.84,13,16,강서구,7
44.35,2,34,중랑구,3.8
84.98,25,6,송파구,19.65
49.8,11,27,송파구,7.2
59.9,14,5,성북구,9.5
84.689,7,20,마포구,8.1
84.943,4,5,강남구,26.5
59.968,37,6,금천구,8.6
59.785,5,5,강동구,12.15
59.99,24,25,노원구,5.6
42.93,8,36,도봉구,3.08
16.959,13,12,강동구,1.24
84.9942,18,8,송파구,14.5
39.69,14,35,송파구,6.6
84.97,28,3,성북구,9.54
70.8,3,21,송파구,5.4
66.02,1,43,성북구,8.01
39.78,9,35,노원구,3.5
75.2,9,37,노원구,9.45
84.97,4,13,동대문,9.8
133.65,5,38,강동구,14.2
44.52,15,32,노원구,3.3
59.26,7,29,송파구,8.98
84.5978,14,10,마포구,15.7
51.82,10,11,송파구,8.35
84.82,14,18,송파구,23
34.44,10,31,강남구,8.3
49.99,6,24,양천구,5.3
59.67,5,35,동대문,5.05
84.97,11,16,강서구,10.9
79.47,12,36,서초구,22
84.9969,3,5,서초구,16
84.99,5,9,서대문,10.9
66.24,12,36,양천구,13
59.84,1,12,성동구,11.25
59.99,4,29,관악구,4
74.99,15,5,강동구,10.8
31.99,5,1,은평구,3.7
84.9,9,25,종로구,9.7
80.64,2,30,강서구,8.3
59.7,16,23,중구,10.8
59.99,2,10,강남구,12.65
84.9805,13,7,강서구,13.3
59.99,1,4,강동구,7.5
59.8826,21,2,성북구,9.5
158.705,12,36,송파구,22.8
84.74,5,15,강동구,8.75
41.85,1,30,강서구,3.8
25.07,15,2,구로구,2.4
84.98,7,4,마포구,16
59.99,17,20,성북구,6.5
84.95,1,20,성북구,5.9
36.2275,24,2,은평구,4.5
84.87,13,25,구로구,7.8
26.24,4,1,동대문,3.675
105.36,11,31,관악구,7.5
84.6,2,40,영등포,13.05
84.8,19,16,송파구,22.4
54.94,9,37,양천구,11.5
59.9,18,27,양천구,10.7
84.9,22,24,마포구,12.99
84.98,8,15,성북구,8.8
59.785,10,5,강동구,11.6
59.98,20,21,성동구,9.5
84.98,11,16,서대문,10.5
84.91,7,28,강동구,8.4
59.9207,21,6,서초구,18.4
84.8,4,33,송파구,10.5
46.61,19,18,중구,4.7
84.96,7,20,동작구,11
64.24,6,2,강동구,7.99
84.966,18,10,양천구,9
49.94,4,34,도봉구,5.4
59.99,11,5,은평구,8.79
84.22,13,33,관악구,5.9
84.98,4,6,송파구,19.55
36.2415,14,2,은평구,5
111.224,19,14,중구,11
84.923,4,5,강동구,11.4
84.97,17,23,성동구,9.25
115.99,12,8,성동구,22.2
15.57,1,11,구로구,0.95
59.55,1,23,용산구,9
49.94,15,36,노원구,4.94
138.96,18,20,서초구,25.7
39.69,7,35,송파구,6.4
167.14,14,15,은평구,13.3
59.96,19,24,동대문,7.3
84.97,21,3,성북구,9.5
51.48,3,38,노원구,6.75
59.992,11,9,서대문,10.6
33.18,9,32,강남구,8.999
59.98,10,20,성북구,5.85
84.9852,5,20,구로구,7.1
84.046,7,5,강동구,15.5
54.02,5,35,노원구,5.63
84.56,18,35,광진구,16.75
59.96,13,3,은평구,8.65
84.7488,23,5,은평구,9.7
84.549,18,20,마포구,9.57
59.22,4,38,노원구,7.2
12.62,16,10,영등포,1.6
12.22,4,10,강서구,1
112.209,6,19,양천구,11.5
59.8826,6,2,성북구,8.95
41.4,13,22,구로구,2.23
84.97,11,4,강동구,12.25
84.9958,6,20,강서구,8.3
84.96,6,14,은평구,8.67
14.244,11,11,동대문,0.99
39.84,8,28,중랑구,4.1
84.93,16,6,서대문,13.9
84.32,12,30,중랑구,6.05
84.9342,12,8,송파구,12.5
81.9,14,33,서초구,16.3
84.91,11,28,광진구,12.95
98.63,10,37,양천구,15.4
59.4,15,27,광진구,9.75
14.02,4,7,양천구,1.2
114.24,11,25,노원구,7.9
84.741,12,22,구로구,6.25
59.98,10,4,서대문,9.7
84.645,13,25,성동구,10.5
59.77,8,3,동대문,8
49.94,5,36,노원구,5.47
36.2275,12,2,은평구,4.5
59.888,3,5,강남구,17.4
59.55,16,24,광진구,11.1
84.97,6,14,강북구,8
114.988,5,23,동대문,9
84.943,1,15,서초구,28.8
149.18,5,26,강북구,4.65
74.25,2,28,중랑구,6
96.98,39,17,광진구,16.7
84.97,3,21,동작구,5.8
59.91,25,26,성동구,7.75
59.4,18,25,서대문,6.3
114.84,19,24,금천구,5.98
59.91,15,5,동대문,8.7
47.25,2,38,양천구,12.49
59.936,1,20,성동구,7.3
159.5,1,51,용산구,15
45.81,1,7,성북구,6.84
14.7,11,8,동작구,1.425
64.02,4,19,영등포,5.4
59.9656,3,10,마포구,12
84.8282,1,5,강동구,5.5008
84.96,21,25,광진구,7.85
39.6,9,29,노원구,4.05
49.54,2,33,노원구,4.85
45.77,8,33,노원구,4.2
59.855,18,21,성북구,6.8
53.46,6,39,서초구,15.5
59.1,25,2,성북구,8.98
59.7,1,20,성동구,7.48
84.81,11,13,성북구,7.55
59.97,6,10,동대문,10.5
84.83,7,4,서대문,11.8
84.706,4,22,서대문,8.8
59.052,11,5,강동구,11.9
109.7,7,31,동작구,10.25
125.71,30,16,영등포,27.35
84.97,6,29,도봉구,5.99
83.43,2,10,양천구,5.33
36.2415,15,2,은평구,5
109.97,6,21,서초구,18
74.4,3,2,강북구,5.01
84.6,3,27,노원구,8
84.8282,2,5,강동구,5.7399
84.83,8,16,성북구,7.95
84.757,11,21,용산구,19.3
99.917,13,24,노원구,8.2
84.93,3,6,서대문,13.85
84.96,21,14,성북구,10.1
49.96,5,32,강남구,12.05
84.94,16,8,강동구,14
84.97,19,4,양천구,9.28
59.9,18,19,마포구,10.55
84.98,6,20,영등포,12.3
59.993,9,14,서초구,20.5
84.955,3,19,양천구,9.8
170.32,7,40,송파구,18.3
84.97,1,20,은평구,5.79
92.56,5,46,영등포,17.2
59.74,1,23,강동구,6
29.35,3,1,중랑구,2.7445
84.9883,7,21,동작구,9.45
84.87,12,28,강동구,7.5
16.1,7,6,영등포,1.4
71.64,4,36,양천구,13.6
26.02,4,1,동대문,3.655
59.96,4,24,영등포,6.25
59.9598,4,5,중랑구,7.6
59.94,8,3,은평구,8.35
59.94,5,22,중구,9.68
59.86,10,16,송파구,17.5
12.25,7,10,은평구,1.15
59.981,2,9,서대문,9
29.35,2,1,중랑구,2.6904
84.98,10,34,강북구,5.1
59.88,12,26,용산구,14.2
39.12,16,6,송파구,11.9
59.9236,10,10,마포구,13.8
84.99,11,9,강서구,12.7
84.98,16,4,영등포,16.6
57.88,12,27,마포구,8.23
114.99,11,24,관악구,10.2
57.63,16,25,중구,9.35
84.79,16,19,관악구,8.9
27.68,13,16,송파구,10
59.99,8,17,동작구,10.49
59.16,4,23,중구,2.65
70,7,21,광진구,4.8
115.93,8,15,성북구,7.8
59.91,6,25,강동구,5.3
84.96,10,6,송파구,20
106.27,8,13,마포구,15
31,7,27,송파구,5.7
114.5,4,20,동대문,10
84.83,3,4,서대문,11.45
84.91,3,12,동작구,12.25
114.88,10,29,노원구,8
84.87,5,31,서초구,18.5
59.99,16,21,마포구,11.49
25.93,10,8,동대문,2.5
59.93,12,24,서대문,6.8
84.87,3,36,마포구,10.27
84.97,4,5,강동구,11.45
84.77,14,31,서대문,8.65
39.12,17,6,송파구,9.5
