아파트명,면적,층수,구,동,년수,거래_날짜,가격,브랜드
한진,84.96,11,구로구,개봉동,24,20240101,5.8,기타
"가락3차쌍용스윗닷홈101동,102동",59.94,11,송파구,가락동,19,20240101,10,기타
래미안파크팰리스,84.89,5,송파구,가락동,17,20240101,14.9,래미안
고덕아르테온,59.98,10,강동구,상일동,4,20240101,11.75,기타
삼성래미안트리베라2단지,84.29,19,강북구,미아동,14,20240101,8,래미안
박석고개1단지힐스테이트(116~131동)BL2-1,84.72,13,은평구,진관동,15,20240101,9.7,힐스테이트
e편한세상,84.98,1,도봉구,쌍문동,17,20240101,6.1,기타
관악산벽산타운5,59.34,19,금천구,시흥동,20,20240102,4.27,기타
벽산,59.94,7,금천구,시흥동,24,20240102,3.78,기타
무지개,53.75,2,금천구,시흥동,44,20240102,4.8,기타
강남자곡아이파크,59.96,10,강남구,자곡동,10,20240102,11.5,기타
송파더센트레,59.85,15,송파구,장지동,11,20240102,10.25,기타
푸른마을아파트101동~111동,59.76,1,강남구,일원동,30,20240102,12.2,기타
삼성,59.86,3,강남구,수서동,27,20240102,14.55,기타
삼성,84.97,3,강남구,수서동,27,20240102,17.35,기타
봉천우성,84.96,14,관악구,봉천동,24,20240102,7.6,기타
브라운스톤관악,59.67,8,관악구,봉천동,19,20240102,7.05,기타
구로두산,44.64,21,구로구,구로동,26,20240102,4.08,기타
현대멤피스,158.82,11,서초구,방배동,23,20240102,26,기타
헬리오시티,110.66,11,송파구,가락동,6,20240102,24.9,기타
래미안에스티움,84.93,26,영등포구,신길동,7,20240102,14.1,래미안
힐스테이트클래시안,59.87,19,영등포구,신길동,4,20240102,11.15,힐스테이트
신도림현대,80.01,7,구로구,구로동,30,20240102,7.9,기타
반포자이,59.98,25,서초구,반포동,15,20240102,23.5,자이
킴스빌리지,23.7,2,서초구,잠원동,28,20240102,5.38,기타
롯데캐슬프레미어,213.44,8,강남구,삼성동,17,20240102,42.5,롯데캐슬
파크리오,144.77,19,송파구,신천동,16,20240102,27.4,기타
청담자이,49.62,8,강남구,청담동,13,20240102,18.7,자이
센트럴파크,102.86,10,용산구,한강로3가,4,20240102,26.4,기타
씨제이나인,83.59,9,강동구,성내동,18,20240102,6.93,기타
강변그대가리버뷰,84.93,9,강동구,천호동,17,20240102,9.5,기타
남산타운,84.88,16,중구,신당동,22,20240102,11.7,기타
마포프레스티지자이,59.88,26,마포구,염리동,3,20240102,15.3,자이
두산,84.87,14,성동구,행당동,27,20240102,9.5,기타
가양2단지(성지),34.44,12,강서구,가양동,32,20240102,4.9,기타
현대홈타운3차,71.27,10,동대문구,장안동,18,20240102,6.8,기타
동성,64.65,1,강서구,방화동,31,20240102,6.08,기타
동성,84.95,1,강서구,방화동,31,20240102,7.3,기타
극동,84.92,9,서대문구,홍은동,29,20240102,5.05,기타
길음뉴타운8단지(래미안),59.99,20,성북구,길음동,14,20240102,8.35,래미안
길음뉴타운8단지(래미안),59.99,20,성북구,길음동,14,20240102,8.35,래미안
래미안길음센터피스,84.95,35,성북구,길음동,5,20240102,13.55,래미안
신내 데시앙포레,84.91,7,중랑구,신내동,11,20240102,6.75,기타
미성,33.28,2,노원구,월계동,38,20240102,5.2,기타
미륭,51.48,2,노원구,월계동,38,20240102,6.45,기타
신원아파트,59.59,12,노원구,공릉동,24,20240102,4.92,기타
동아,88.23,6,도봉구,창동,36,20240102,7.25,기타
청구(366),115.47,11,노원구,중계동,31,20240102,12.4,기타
미소애,45.47,7,도봉구,창동,19,20240102,3.45,기타
상계대림,59.67,10,노원구,상계동,35,20240102,4.5,기타
노원센트럴푸르지오,60,17,노원구,상계동,3,20240102,7.7,푸르지오
보람아파트,44.33,6,노원구,상계동,36,20240102,3.55,기타
관악산휴먼시아2단지,59.96,14,관악구,신림동,16,20240103,5.8,기타
관악산휴먼시아2단지,84.97,7,관악구,신림동,16,20240103,6.78,기타
송파더센트레,59.85,9,송파구,장지동,11,20240103,10.6,기타
케이씨씨,121.32,11,동작구,사당동,17,20240103,10.3,기타
상록수,74.54,5,강남구,일원동,31,20240103,17.9,기타
송파위례리슈빌,105.46,19,송파구,거여동,3,20240103,13,기타
두산,59.92,10,관악구,봉천동,24,20240103,7.9,기타
개포더샵트리에,108.09,14,강남구,개포동,3,20240103,22.3,기타
코스모그린,12.21,5,관악구,신림동,12,20240103,1.1,기타
올림픽훼밀리타운,136.33,2,송파구,문정동,36,20240103,20.5,기타
올림픽훼밀리타운,158.71,14,송파구,문정동,36,20240103,22.85,기타
구일우성,59.44,1,구로구,구로동,26,20240103,4.6,기타
롯데캐슬,84.96,12,동작구,사당동,21,20240103,10.9,롯데캐슬
럭키,59.98,8,구로구,구로동,32,20240103,5.55,기타
럭키,84.9,11,구로구,구로동,32,20240103,7.05,기타
현대,59.94,19,구로구,개봉동,23,20240103,6.65,기타
도곡1차아이파크,130.26,25,강남구,도곡동,17,20240103,26.4,기타
한마을,123.46,16,구로구,개봉동,25,20240103,9.5,기타
동부(105동~106동),84.9,18,구로구,오류동,25,20240103,5.6,기타
헬리오시티,84.98,13,송파구,가락동,6,20240103,19.85,기타
삼성래미안2,84.8,12,동작구,상도동,21,20240103,10.49,래미안
보라매자이더포레스트,59.94,9,동작구,신대방동,3,20240103,10.5,자이
골든노블레스,18.01,3,동작구,대방동,1,20240103,2.475,기타
골든노블레스,18.01,3,동작구,대방동,1,20240103,2.475,기타
골든노블레스,18.01,4,동작구,대방동,1,20240103,2.495,기타
골든노블레스,18.01,4,동작구,대방동,1,20240103,2.495,기타
골든노블레스,18.01,5,동작구,대방동,1,20240103,2.525,기타
골든노블레스,18.01,5,동작구,대방동,1,20240103,2.525,기타
골든노블레스,18.01,6,동작구,대방동,1,20240103,2.545,기타
골든노블레스,18.01,7,동작구,대방동,1,20240103,2.575,기타
골든노블레스,18.01,8,동작구,대방동,1,20240103,2.575,기타
골든노블레스,18.01,9,동작구,대방동,1,20240103,2.575,기타
골든노블레스,18.01,9,동작구,대방동,1,20240103,2.575,기타
골든노블레스,18.01,10,동작구,대방동,1,20240103,2.575,기타
골든노블레스,18.01,10,동작구,대방동,1,20240103,2.575,기타
골든노블레스,18.01,11,동작구,대방동,1,20240103,2.575,기타
골든노블레스,18.01,11,동작구,대방동,1,20240103,2.575,기타
골든노블레스,18.01,12,동작구,대방동,1,20240103,2.575,기타
골든노블레스,18.01,13,동작구,대방동,1,20240103,2.575,기타
힐스테이트클래시안,59.91,22,영등포구,신길동,4,20240103,11.45,힐스테이트
롯데캐슬에듀포레,59.87,8,동작구,흑석동,6,20240103,13.8,롯데캐슬
흑석한강센트레빌,114.95,11,동작구,흑석동,13,20240103,18.35,기타
대림2,84.95,3,구로구,신도림동,23,20240103,10.2,기타
삼성동대성유니드,78.69,6,강남구,삼성동,20,20240103,15,기타
삼익(1단지),59.82,13,구로구,고척동,23,20240103,4.2,기타
신동아,84.46,9,동작구,본동,31,20240103,9.08,기타
대우트럼프월드II,163.87,9,영등포구,여의도동,21,20240103,25.8,기타
한가람,59.88,8,용산구,이촌동,26,20240103,15.6,기타
"현대7차(73~77,82,85동)",157.36,6,강남구,압구정동,45,20240103,54,기타
남광아파트,32.07,13,강서구,화곡동,7,20240103,2.1,기타
양평현대6차,84.94,19,영등포구,양평동3가,24,20240103,10.14,기타
현대프라임,59.82,25,광진구,구의동,27,20240103,10.65,기타
신공덕래미안2차,59.48,15,마포구,신공덕동,24,20240103,9.37,래미안
롯데캐슬위너,84.94,13,양천구,목동,19,20240103,11,롯데캐슬
고덕숲아이파크,84.97,14,강동구,상일동,6,20240103,12.3,기타
마곡수명산파크5단지,59.76,11,강서구,내발산동,16,20240103,7.9,기타
롯데캐슬퍼스트,84.98,16,강동구,암사동,16,20240103,13.2,롯데캐슬
주공5,58.14,5,강서구,등촌동,29,20240103,6.79,기타
삼민,59.94,2,광진구,중곡동,29,20240103,4.5,기타
가양6단지,39.6,14,강서구,가양동,32,20240103,5.5,기타
가양6단지,49.5,10,강서구,가양동,32,20240103,7.3,기타
마곡힐스테이트,84.89,10,강서구,마곡동,7,20240103,13,힐스테이트
동대문와이즈캐슬,15.55,9,중구,흥인동,10,20240103,1.45,기타
성산시영(유원),59.43,11,마포구,성산동,38,20240103,11.25,기타
마곡서광(치현마을),84.93,9,강서구,방화동,26,20240103,5.6,기타
한신아파트,84.4,10,동대문구,장안동,28,20240103,4,기타
홍제한양,84.77,6,서대문구,홍제동,31,20240103,8.4,기타
동성3,105.93,4,중랑구,신내동,27,20240103,7.85,기타
두산위브트레지움,84.97,14,강북구,미아동,13,20240103,7.85,기타
은평뉴타운 제각말 푸르지오(5-4단지),84.89,7,은평구,진관동,14,20240103,8,푸르지오
한신1,35.28,2,노원구,하계동,36,20240103,3.5,기타
중계그린1단지,39.78,7,노원구,중계동,34,20240103,4.2,기타
주공2,44.52,6,노원구,중계동,32,20240103,3.5,기타
보람아파트,44.33,12,노원구,상계동,36,20240103,3.74,기타
상계주공14(고층),45.9,3,노원구,상계동,35,20240103,3.7,기타
닷컴캐슬,72.62,2,동작구,사당동,21,20240104,4.7,기타
신림푸르지오,84.79,23,관악구,신림동,19,20240104,8.9,푸르지오
까치마을,39.6,13,강남구,수서동,31,20240104,9,기타
방배대우디오빌,29.6,9,서초구,방배동,19,20240104,2.98,기타
한라비발디,84.89,9,강남구,도곡동,8,20240104,17.7,기타
(749-8),45.09,3,구로구,구로동,28,20240104,1.93,기타
포스코트,209.03,9,강남구,도곡동,22,20240104,37.5,기타
가락우성2,84.95,4,송파구,가락동,24,20240104,9,기타
서초동삼성쉐르빌2,70.49,14,서초구,서초동,22,20240104,7.8,기타
파인마루오피스텔,18.9,11,구로구,구로동,8,20240104,1.5,기타
은마,76.79,4,강남구,대치동,45,20240104,23.7,기타
래미안파크팰리스,59.97,2,송파구,가락동,17,20240104,12.3,래미안
역삼I'PARK,116.29,14,강남구,역삼동,18,20240104,28.9,기타
흑석한강센트레빌Ⅱ,59.95,5,동작구,흑석동,12,20240104,11.48,기타
흑석한강센트레빌Ⅱ,59.953,5,동작구,흑석동,12,20240104,11.48,기타
신길센트럴자이아파트,84.98,7,영등포구,신길동,3,20240104,12.85,자이
상도파크자이,84.89,22,동작구,상도동,8,20240104,15.3,자이
LG선릉에클라트(A),36.16,4,강남구,삼성동,21,20240104,4.3,기타
목동우성2,84.96,15,양천구,신정동,24,20240104,8.1,기타
올림픽선수기자촌3단지,100.31,12,송파구,방이동,36,20240104,19.7,기타
신월시영,43.2,8,양천구,신월동,36,20240104,4.45,기타
목동힐스테이트,84.98,16,양천구,신정동,8,20240104,16.5,힐스테이트
아이파크,84.88,14,양천구,신정동,22,20240104,16.5,기타
하이페리온2,102.72,5,양천구,목동,18,20240104,20.3,기타
삼호,84.92,18,영등포구,양평동3가,26,20240104,7.29,기타
현대1,83.02,10,송파구,풍납동,29,20240104,12.2,기타
용산e편한세상,84.89,2,용산구,신계동,13,20240104,17,기타
더샵스타시티,163.53,34,광진구,자양동,17,20240104,28.5,기타
광장자이,125.89,15,광진구,광장동,16,20240104,18.3,자이
흥화빌라트,201.4,5,광진구,광장동,26,20240104,18,기타
고덕숲아이파크,59.97,9,강동구,상일동,6,20240104,9.8,기타
삼정아트테라스정동,32.01,2,중구,정동,4,20240104,4.65,기타
가양6단지,49.5,13,강서구,가양동,32,20240104,7.8,기타
현대썬앤빌청계,14.82,6,동대문구,답십리동,8,20240104,1.2,기타
현대썬앤빌청계,14.82,11,동대문구,답십리동,8,20240104,1.2,기타
래미안장안,84.77,3,동대문구,장안동,21,20240104,8.4,래미안
래미안남가좌2차,84.81,1,서대문구,남가좌동,19,20240104,8.85,래미안
DMC파크뷰자이5단지,59.98,9,서대문구,남가좌동,9,20240104,9.5,자이
DMC래미안e편한세상,120.95,2,서대문구,북가좌동,12,20240104,14,래미안
래미안크레시티,84.96,12,동대문구,전농동,10,20240104,12.5,래미안
삼선현대힐스테이트,56.83,8,성북구,삼선동2가,15,20240104,6.9,힐스테이트
주공2,39.98,5,동대문구,휘경동,23,20240104,3.6,기타
백련산힐스테이트3차,84.32,1,은평구,응암동,13,20240104,8.25,힐스테이트
리치캐슬아파트,64.68,4,종로구,명륜1가,21,20240104,4.6,기타
베라체캠퍼스,24.32,13,동대문구,회기동,11,20240104,2.55,기타
힐스테이트녹번역,51.78,13,은평구,응암동,2,20240104,7.85,힐스테이트
힐스테이트녹번역,84.99,1,은평구,응암동,2,20240104,10.6,힐스테이트
이문휘경지웰에스테이트,14.14,2,동대문구,휘경동,3,20240104,1.9,기타
백련산에스케이뷰아이파크,84.9,14,은평구,응암동,4,20240104,9.3,기타
동소문현대,84.72,1,성북구,돈암동,30,20240104,5.7,기타
녹번역e편한세상캐슬,84.98,19,은평구,응암동,3,20240104,11.25,기타
일신건영휴먼빌아파트,143.51,13,성북구,돈암동,19,20240104,11.25,기타
건영2차아파트,84.96,12,중랑구,상봉동,28,20240104,6.85,기타
신내6대주,39.84,5,중랑구,신내동,28,20240104,3.85,기타
신내두산아파트,107.05,2,중랑구,묵동,29,20240104,7.95,기타
정릉풍림아이원,60,10,성북구,정릉동,19,20240104,5.6,기타
주공2,38.64,11,노원구,월계동,32,20240104,3.125,기타
창동현대타운,57.93,10,도봉구,창동,25,20240104,4.15,기타
청구아파트,84.97,1,도봉구,방학동,30,20240104,4.8,기타
청구아파트,84.97,1,도봉구,방학동,30,20240104,4.8,기타
성원상떼빌,84.98,5,강북구,우이동,34,20240104,5.15,기타
한진,59.95,9,구로구,개봉동,24,20240104,4.5,기타
금천롯데캐슬골드파크3차,59.97,29,금천구,독산동,6,20240105,8.58,롯데캐슬
e편한세상독산더타워,59.86,17,금천구,독산동,5,20240105,7,기타
케이씨씨,84.75,11,동작구,사당동,17,20240105,8.4,기타
케이씨씨,84.75,6,동작구,사당동,17,20240105,8.8,기타
케이씨씨,84.75,6,동작구,사당동,17,20240105,8.8,기타
건영1,84.39,9,송파구,문정동,28,20240105,11,기타
두산,84.87,12,관악구,봉천동,24,20240105,9.55,기타
대림e-편한세상1,164.25,14,서초구,방배동,21,20240105,25.5,기타
올림픽훼밀리타운,84.75,15,송파구,문정동,36,20240105,16,기타
사당우성3,84.66,5,동작구,사당동,31,20240105,11.3,기타
송파시그니처롯데캐슬,84.98,5,송파구,거여동,3,20240105,14.5,롯데캐슬
송파시그니처롯데캐슬,84.98,5,송파구,거여동,3,20240105,14.5,롯데캐슬
개포한신,82.3,3,강남구,일원동,40,20240105,15.5,기타
urbanplace,21,8,서초구,서초동,10,20240105,1.88,기타
현대(관악),58.59,11,동작구,상도동,32,20240105,7,기타
한보미도맨션2,84.96,8,강남구,대치동,39,20240105,27.15,기타
성우2차아파트,76.8,1,동작구,상도동,30,20240105,3.1,기타
헬리오시티,84.95,7,송파구,가락동,6,20240105,20.05,기타
역삼I'PARK,116.29,15,강남구,역삼동,18,20240105,29.5,기타
송파두산위브,59.98,2,송파구,오금동,5,20240105,8,기타
래미안에스티움,84.97,26,영등포구,신길동,7,20240105,14.4,래미안
보라매에스케이뷰,59.98,5,영등포구,신길동,4,20240105,11,기타
포레나 신길,120.69,16,영등포구,신길동,16,20240105,13,기타
반포리체,59.99,27,서초구,반포동,14,20240105,23,기타
반포리체,106.15,27,서초구,반포동,14,20240105,32.7,기타
센츄리,84.56,5,구로구,고척동,30,20240105,6.03,기타
리치타워,89.83,3,강남구,역삼동,28,20240105,6.9,기타
신도림태영타운,84.87,20,구로구,구로동,24,20240105,9.85,기타
신반포4,105.89,7,서초구,잠원동,45,20240105,28.8,기타
신기목련아파트,59.4,15,영등포구,신길동,24,20240105,5.8,기타
역삼동하나빌,50.89,9,강남구,역삼동,22,20240105,7,기타
메가스터디타워,16.01,20,동작구,노량진동,9,20240105,1.9,기타
리센츠,84.99,25,송파구,잠실동,16,20240105,22.25,기타
에비뉴잠실,29.51,10,송파구,방이동,4,20240105,3.8,기타
올림픽선수기자촌2단지,83.06,23,송파구,방이동,36,20240105,18.5,기타
올림픽선수기자촌1단지,83.06,23,송파구,방이동,36,20240105,18.7,기타
올림픽선수기자촌2단지,100.31,6,송파구,방이동,36,20240105,20.5,기타
미주B,149.09,4,용산구,이촌동,48,20240105,14.5,기타
진흥아파트,109.31,1,강남구,청담동,40,20240105,21.7,기타
목동힐스테이트,84.98,5,양천구,신정동,8,20240105,16.3,힐스테이트
당산2가현대홈타운,82.77,8,영등포구,당산동2가,30,20240105,9.6,기타
당산현대3차,84.5,7,영등포구,당산동4가,36,20240105,11,기타
강동렘브란트,15.86,12,강동구,길동,10,20240105,1,기타
길동우성,84.75,1,강동구,길동,30,20240105,7.5,기타
더샵스타시티,139.54,25,광진구,자양동,17,20240105,21,기타
이편한세상강동에코포레,59.99,2,강동구,길동,4,20240105,9,기타
서울숲대림,59.89,12,성동구,성수동1가,24,20240105,13.1,기타
두영,131.48,2,마포구,용강동,21,20240105,8.7,기타
초록,59.34,10,강서구,화곡동,26,20240105,6.8,기타
성수우방2차아파트,84.65,5,성동구,성수동2가,25,20240105,9.5,기타
세심,32.74,2,강서구,등촌동,20,20240105,2.05,기타
신촌숲아이파크,84.91,22,마포구,신수동,5,20240105,18,기타
래미안하이리버,59.99,3,성동구,금호동2가,12,20240105,10.8,래미안
신동아,59.97,6,성동구,행당동,29,20240105,7.8,기타
마곡수명산파크2단지,84.68,7,강서구,내발산동,17,20240105,9.78,기타
신금호파크자이,59.98,3,성동구,금호동2가,8,20240105,12.23,자이
우장산롯데캐슬,85,5,강서구,화곡동,21,20240105,9.66,롯데캐슬
롯데캐슬퍼스트,84.81,5,강동구,암사동,16,20240105,13.7,롯데캐슬
대우미래사랑,34.29,4,마포구,서교동,19,20240105,3,기타
고덕그라시움,84.24,12,강동구,고덕동,5,20240105,15.55,기타
가양도시개발9-2단지,34.44,12,강서구,가양동,31,20240105,4.9,기타
등촌라인(조합),59.91,11,강서구,등촌동,27,20240105,5.5,기타
청구e편한세상,84.95,14,중구,신당동,13,20240105,14.95,기타
"등촌7,8단지주공아파트",41.85,15,강서구,등촌동,30,20240105,5.07,기타
장안푸르미에,12.65,7,동대문구,장안동,11,20240105,1.14,기타
장안푸르미에,12.65,4,동대문구,장안동,11,20240105,1.18,기타
장안푸르미에,12.65,9,동대문구,장안동,11,20240105,1.19,기타
강일리버파크5단지,84.83,13,강동구,강일동,15,20240105,8.7,기타
방화5,39.6,6,강서구,방화동,30,20240105,4.52,기타
DMC센트럴아이파크,84.95,4,서대문구,남가좌동,6,20240105,10.75,기타
청구1차,84.78,15,서대문구,홍제동,30,20240105,8.67,기타
우성,80.99,3,은평구,응암동,36,20240105,5.85,기타
휘경미소지움,59.84,23,동대문구,휘경동,25,20240105,5.88,기타
돈암동삼성,84.59,5,성북구,돈암동,25,20240105,7,기타
래미안아트리치,59.96,11,성북구,석관동,5,20240105,7.8,래미안
동성타워프라자,59.01,9,중랑구,신내동,28,20240105,3.7,기타
세방,59.94,14,중랑구,묵동,24,20240105,5,기타
풍림아파트A,59.94,5,노원구,공릉동,23,20240105,6,기타
벽산,70.56,13,노원구,하계동,36,20240105,6.87,기타
은평뉴타운꿈에그린,59.92,10,은평구,진관동,6,20240105,7.38,기타
주공17단지,36.34,8,도봉구,창동,35,20240105,3.35,기타
삼익세라믹,42.93,2,도봉구,쌍문동,36,20240105,2.9,기타
삼익세라믹,42.93,6,도봉구,쌍문동,36,20240105,3.1,기타
북한산아이파크5차,84.45,6,도봉구,창동,20,20240105,8.2,기타
청구,84.63,16,도봉구,쌍문동,28,20240105,5.8,기타
청암2단지,49.77,8,노원구,상계동,23,20240105,3.95,기타
관악산벽산타운5,59.34,1,금천구,시흥동,20,20240106,3.95,기타
금천현대,59.82,8,금천구,독산동,22,20240106,5,기타
그대家,59.6,1,관악구,신림동,21,20240106,4.3,기타
코오롱,52.47,1,서초구,우면동,30,20240106,10,기타
강남자곡아이파크,74.97,12,강남구,자곡동,10,20240106,14.5,기타
두산,84.9,19,금천구,가산동,26,20240106,6.95,기타
닷컴캐슬,73.19,4,동작구,사당동,21,20240106,4.65,기타
송파파인타운11단지,84.94,12,송파구,장지동,17,20240106,12.3,기타
신동아,106.42,2,서초구,방배동,43,20240106,23.5,기타
우성4,152.74,9,강남구,도곡동,39,20240106,36.75,기타
우성사원5,78.99,7,강남구,도곡동,38,20240106,22.9,기타
구로두산위브,36.88,8,구로구,구로동,18,20240106,4.05,기타
타워팰리스1,244.66,54,강남구,도곡동,22,20240106,73.3,기타
