면적,층수,구,동,년수,가격,브랜드,등급
84.96,11,구로구,개봉동,24,5.8,기타,A
59.94,11,송파구,가락동,19,10,기타,A
84.89,5,송파구,가락동,17,14.9,래미안,A
59.98,10,강동구,상일동,4,11.75,기타,B
84.29,19,강북구,미아동,14,8,래미안,A
84.72,13,은평구,진관동,15,9.7,힐스테이트,C
84.98,1,도봉구,쌍문동,17,6.1,기타,B
59.34,19,금천구,시흥동,20,4.27,기타,B
59.94,7,금천구,시흥동,24,3.78,기타,B
53.75,2,금천구,시흥동,44,4.8,기타,A
59.96,10,강남구,자곡동,10,11.5,기타,B
59.85,15,송파구,장지동,11,10.25,기타,A
59.76,1,강남구,일원동,30,12.2,기타,A
59.86,3,강남구,수서동,27,14.55,기타,C
84.97,3,강남구,수서동,27,17.35,기타,C
84.96,14,관악구,봉천동,24,7.6,기타,A
59.67,8,관악구,봉천동,19,7.05,기타,B
44.64,21,구로구,구로동,26,4.08,기타,B
158.82,11,서초구,방배동,23,26,기타,C
110.66,11,송파구,가락동,6,24.9,기타,C
84.93,26,영등포구,신길동,7,14.1,래미안,B
59.87,19,영등포구,신길동,4,11.15,힐스테이트,B
80.01,7,구로구,구로동,30,7.9,기타,C
59.98,25,서초구,반포동,15,23.5,자이,B
23.7,2,서초구,잠원동,28,5.38,기타,A
144.77,19,송파구,신천동,16,27.4,기타,B
49.62,8,강남구,청담동,13,18.7,자이,B
102.86,10,용산구,한강로3가,4,26.4,기타,C
83.59,9,강동구,성내동,18,6.93,기타,A
84.93,9,강동구,천호동,17,9.5,기타,C
84.88,16,중구,신당동,22,11.7,기타,B
59.88,26,마포구,염리동,3,15.3,자이,B
84.87,14,성동구,행당동,27,9.5,기타,A
34.44,12,강서구,가양동,32,4.9,기타,B
71.27,10,동대문구,장안동,18,6.8,기타,B
64.65,1,강서구,방화동,31,6.08,기타,B
84.95,1,강서구,방화동,31,7.3,기타,B
84.92,9,서대문구,홍은동,29,5.05,기타,A
59.99,20,성북구,길음동,14,8.35,래미안,A
59.99,20,성북구,길음동,14,8.35,래미안,A
84.95,35,성북구,길음동,5,13.55,래미안,B
84.91,7,중랑구,신내동,11,6.75,기타,B
33.28,2,노원구,월계동,38,5.2,기타,C
51.48,2,노원구,월계동,38,6.45,기타,C
59.59,12,노원구,공릉동,24,4.92,기타,B
88.23,6,도봉구,창동,36,7.25,기타,B
115.47,11,노원구,중계동,31,12.4,기타,C
45.47,7,도봉구,창동,19,3.45,기타,B
59.67,10,노원구,상계동,35,4.5,기타,B
60,17,노원구,상계동,3,7.7,기타,A
44.33,6,노원구,상계동,36,3.55,기타,B
59.96,14,관악구,신림동,16,5.8,기타,B
84.97,7,관악구,신림동,16,6.78,기타,B
