Date No.,Nvidia,Intel
1,6.89,51.57
2,6.62,49.61
3,7.09,52.02
4,6.81,50.49
5,6.63,49.44
6,6.11,45.08
7,6.5,47.85
8,6.14,45.79
9,5.39,40.37
10,6,48.25
11,4.89,39.54
12,5.41,44.39
13,5.05,42.2
14,5.31,40.72
15,5.13,40.63
16,5.3,43.95
17,6.21,46.45
18,6.12,45.44
19,6.41,49.23
20,6.3,46.42
21,6.62,49.19
22,6.57,47.97
23,6.06,45.99
24,6.36,48.18
25,6.08,47.98
26,6.69,51.79
27,6.45,51.77
28,6.65,52.28
29,6.55,50.65
30,6.72,52.03
31,7.07,53.77
32,7,52.18
33,7.34,53.89
34,7.28,53.51
35,7.15,52.46
36,6.71,49.96
37,7.13,53.27
38,7.07,52.34
39,7.21,52.53
40,7.4,52.72
41,7.26,52.08
42,7.43,54.78
43,7.28,53.17
44,7.04,50.94
45,7.26,51.4
46,7.32,52.08
47,7.42,52.76
48,7.59,52.75
49,7.78,53.19
50,8.04,53.6
51,7.77,52.05
52,7.75,51.47
53,8,52.67
54,8.46,51.95
55,8.72,53.42
56,8.77,53.75
57,8.94,56.25
58,8.74,55.25
59,8.99,55.5
60,8.69,55.57
61,8.49,56.66
62,8.46,55
63,8.84,56.1
64,8.77,55.14
65,8.79,55.38
66,8.74,55.21
67,8.74,56.13
68,8.89,57.36
69,8.78,56.76
70,9.02,56.2
71,9.34,56.94
72,8.77,53.22
73,8.9,52.89
74,9.15,53.58
75,9.04,53.84
76,9.21,53.92
77,9.19,53.56
78,9.23,53.15
79,9.5,53.57
80,9.42,53.42
81,9.21,52.68
82,9.46,52.16
83,9.13,51.26
84,9.17,51.94
85,9.47,53.34
86,9.5,52.43
87,9.58,52.71
88,9.81,53.08
89,9.84,51.98
90,10.18,52.25
91,10.48,52.08
92,10.45,53.07
93,10.02,52.22
94,10.34,52.58
95,10.2,52.62
96,10.1,52.72
97,10.17,53.49
98,10.48,54.51
99,10.3,54.11
100,10.41,54.42
101,10.1,53.84
102,10.16,45.1
103,10.39,44.19
104,10.18,43.89
105,10.43,42.85
106,10.58,42.78
107,10.58,42.55
108,10.98,43.06
109,11.19,43.8
110,11.25,43.61
111,11.3,43.59
112,11.16,43.11
113,11.13,44.17
114,10.82,43.25
115,11.4,44.15
116,11.41,43.58
117,11.53,43.88
118,12.3,43.91
119,12.22,43.66
120,12.1,43.38
121,12.1,44.13
122,12.64,44.23
123,12.68,44.1
124,12.71,44.36
125,12.73,44.47
126,12.59,44.34
127,13.11,45.26
128,13.33,45.73
129,13.78,45.58
130,14.31,46.89
131,12.98,45.22
132,12.59,44.95
133,11.88,43.9
134,12.68,44.53
135,12.28,43.94
136,12.13,44.23
137,12.84,44.35
138,12.95,44.87
139,12.48,45.21
140,12.43,45.16
141,12.15,44.78
142,12.48,44.62
143,12.6,44.83
144,12.09,43.82
145,12.31,44.12
146,12.84,44.82
147,13,46.16
148,13.19,45.94
149,13.49,46.47
150,13.58,46.89
151,13.03,45.78
152,13.6,46.39
153,13.7,46.1
154,13.92,47.27
155,13.8,47.9
156,13.72,47.41
157,14.19,48.36
158,14.21,48.31
159,14.06,48.06
160,13.93,48.33
161,13.77,48.61
162,13.46,48.99
163,13.61,47.95
164,13.49,48.02
165,13.32,48.38
166,13.55,43.26
167,13.1,41.93
168,13.36,40.96
169,12.59,39.71
170,12.99,39.59
171,12.5,39.74
172,12.55,39.9
173,12.98,40.25
174,13.76,41.02
175,14.12,41.3
176,14.52,41.03
177,13.59,41.22
178,12.73,41.08
179,13.38,41.9
180,13.42,40.64
181,13.26,41.1
182,13.48,41.76
183,13.38,41.16
184,13.39,40.74
185,13.4,41.24
186,13.05,41.03
187,13.1,41.64
188,12.92,42.5
189,13.2,42.53
190,13.22,42.9
191,13.36,43.71
192,13.35,44.8
193,13.51,45.11
194,13.36,46.1
195,13.52,47
196,13.57,45.38
197,13.32,45.83
198,12.9,45.26
199,12.94,45.44
200,12.98,44.96
201,13.28,45.63
202,13.33,45.81
203,13.21,46.21
204,13.31,45.79
205,13.24,42.91
206,13.3,41.91
207,13.24,41.74
208,12.98,42.1
209,12.96,42.55
210,12.87,42.55
211,12.91,44.65
212,13.11,44.07
213,13.02,45.04
214,13.08,44.9
215,13.37,45.75
216,12.58,46.2
217,13.31,47.18
