수열,비율
0,
1,
1,1.0
2,2.0
3,1.5
5,1.6666666666666667
8,1.6
13,1.625
21,1.6153846153846154
34,1.619047619047619
55,1.6176470588235294
89,1.6181818181818182
144,1.6179775280898876
233,1.6180555555555556
377,1.6180257510729614
610,1.6180371352785146
987,1.618032786885246
1597,1.618034447821682
2584,1.6180338134001253
4181,1.618034055727554
6765,1.6180339631667064
10946,1.6180339985218033
17711,1.618033985017358
28657,1.6180339901755971
46368,1.618033988205325
75025,1.618033988957902
121393,1.6180339886704431
196418,1.6180339887802426
317811,1.618033988738303
514229,1.6180339887543225
